position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Left Winger,23,1,United Arab Emirates,UAE Pro League,FC Shabab Al-Ahli Dubai,Iran,Persian Gulf Pro League,Esteghlal FC,0.3
Centre-Back,21,1,Belgium,Jupiler Pro League,Standard Liège,Russia,Premier Liga,FC Sochi,0.3
Centre-Back,22,1,Poland,Ekstraklasa,Górnik Zabrze,Germany,2. Bundesliga,SC Paderborn 07,0.2
Central Midfield,25,1,Russia,1.Division,Rubin Kazan,Russia,Premier Liga,Ural Yekaterinburg,0.12
Left-Back,23,1,France,Ligue 2,Nîmes Olympique,France,Ligue 1,Montpellier HSC,free transfer
Attacking Midfield,22,1,Romania,SuperLiga,FC Voluntari,Romania,SuperLiga,Sepsi OSK Sf. Gheorghe,free transfer
Defensive Midfield,30,1,Switzerland,Super League,FC Zürich,Switzerland,Super League,FC Lugano,free transfer
Centre-Forward,34,1,Turkey,Süper Lig,Hatayspor,Turkey,Süper Lig,Konyaspor,free transfer
Attacking Midfield,30,1,England,Championship,West Bromwich Albion,Wales,Championship,Cardiff City,free transfer
Left Winger,22,1,Nigeria,Without League,Remo Stars FC,Portugal,Liga Sabseg,FC Porto B,loan transfer
Central Midfield,27,1,Spain,Primera Federación - Gr. II,Real Sociedad B,Spain,LaLiga2,FC Cartagena,free transfer
Left-Back,32,1,Russia,Premier Liga,Lokomotiv Moscow,Russia,Premier Liga,Spartak Moscow,free transfer
Central Midfield,33,1,Mexico,Liga MX Apertura,Club León FC,Mexico,Liga MX Apertura,Deportivo Toluca,free transfer
Centre-Forward,25,1,Russia,Premier Liga,FK Orenburg,Russia,1.Division,Rubin Kazan,free transfer
Left-Back,29,1,Czech Republic,Fortuna Liga,FK Jablonec,Czech Republic,Fortuna Liga,AC Sparta Prague,?
Left Winger,27,1,France,Ligue 1,Stade Reims,France,Ligue 2,FC Sochaux-Montbéliard,free transfer
Right Winger,32,1,Spain,LaLiga2,Deportivo Alavés,Mexico,Liga MX Apertura,Club Necaxa,free transfer
Attacking Midfield,22,1,England,Premier League,Liverpool FC,England,Championship,Preston North End,free transfer
Left-Back,34,1,Mexico,Liga MX Apertura,CD Cruz Azul,Mexico,Liga MX Apertura,UNAM Pumas,free transfer
Attacking Midfield,24,1,France,Ligue 1,ESTAC Troyes,France,Ligue 2,AS Saint-Étienne,free transfer
Central Midfield,28,1,England,League One,Shrewsbury Town,England,League One,Fleetwood Town,free transfer
Centre-Back,24,1,Greece,Super League 1,AEK Athens,Poland,Ekstraklasa,Rakow Czestochowa,loan transfer
Centre-Forward,29,1,Spain,LaLiga2,Real Zaragoza,Croatia,SuperSport HNL,HNK Rijeka,free transfer
Centre-Forward,29,1,Serbia,Super liga Srbije,FK Spartak Subotica,Serbia,Super liga Srbije,FK Vojvodina Novi Sad,free transfer
Central Midfield,27,1,Spain,LaLiga2,FC Cartagena,Spain,LaLiga2,Granada CF,free transfer
Left Winger,25,1,France,Ligue 1,RC Strasbourg Alsace,France,Ligue 2,Paris FC,loan transfer
Right-Back,30,1,Germany,Bundesliga,Eintracht Frankfurt,Germany,2. Bundesliga,1.FC Kaiserslautern,?
Attacking Midfield,22,1,Mexico,Liga MX Apertura,Deportivo Toluca,Mexico,Liga MX Apertura,Club Tijuana,free transfer
Centre-Back,27,1,France,Ligue 2,Nîmes Olympique,France,Ligue 2,AS Saint-Étienne,free transfer
Goalkeeper,31,1,Switzerland,Super League,FC Basel 1893,Switzerland,Super League,FC Sion,?
Defensive Midfield,31,1,Saudi Arabia,Professional League,Ettifaq FC,United Arab Emirates,UAE Pro League,Al-Ittihad Kalba SC,free transfer
Centre-Back,20,1,Italy,Serie A,ACF Fiorentina,Italy,Serie B,SPAL,loan transfer
Right-Back,29,1,Ukraine,Premier Liga,Shakhtar Donetsk,Ukraine,Premier Liga,Kolos Kovalivka,free transfer
Goalkeeper,28,1,France,Ligue 1,Clermont Foot 63,France,Ligue 2,AC Le Havre,?
Centre-Back,22,1,Greece,Super League 1,Olympiacos Piraeus,Serbia,Super liga Srbije,FK Partizan Belgrade,?
Attacking Midfield,28,1,Russia,Premier Liga,FK Krasnodar,Netherlands,Eredivisie,Sparta Rotterdam,free transfer
Attacking Midfield,23,1,Italy,Serie B,Venezia FC,Belgium,Jupiler Pro League,RSC Charleroi,?
Central Midfield,26,1,Italy,Serie A,Atalanta BC,Italy,Serie A,US Cremonese,?
Centre-Forward,23,1,England,Premier League,Southampton FC,England,League One,Cheltenham Town,loan transfer
Attacking Midfield,21,1,Germany,Bundesliga,FC Schalke 04,Turkey,Süper Lig,Fatih Karagümrük,?
Right Winger,28,1,Russia,Premier Liga,Dynamo Moscow,Turkey,Süper Lig,Sivasspor,free transfer
Defensive Midfield,28,1,Brazil,Paulistão A1 - Primeira fase,Associação Ferroviária de Esportes (SP),Mexico,Liga MX Apertura,UNAM Pumas,?
Attacking Midfield,29,1,Mexico,Liga MX Apertura,UNAM Pumas,Argentina,Liga Profesional,Club Atlético Talleres,loan transfer
Centre-Back,21,1,Brazil,Série A,Red Bull Bragantino,Colombia,Liga DIMAYOR II,Junior FC,loan transfer
Right Winger,30,1,Germany,Bundesliga,1.FC Union Berlin,Poland,Ekstraklasa,Legia Warszawa,free transfer
Centre-Back,25,1,Belgium,Jupiler Pro League,Royale Union Saint Gilloise,Belgium,Jupiler Pro League,RSC Charleroi,free transfer
Central Midfield,29,1,Romania,SuperLiga,FC Botosani,Turkey,1.Lig,Caykur Rizespor,free transfer
Central Midfield,24,1,Argentina,Liga Profesional,Racing Club,Argentina,Liga Profesional,Defensa y Justicia,loan transfer
Central Midfield,32,1,England,Championship,Stoke City,Wales,Championship,Swansea City,free transfer
Central Midfield,27,1,Spain,LaLiga,Real Sociedad,Spain,LaLiga2,Deportivo Alavés,free transfer
Centre-Back,29,1,Spain,LaLiga,Cádiz CF,Cyprus,Protathlima Cyta,Anorthosis Famagusta,free transfer
Left Winger,29,1,France,Ligue 1,Angers SCO,Cyprus,Protathlima Cyta,Anorthosis Famagusta,free transfer
Centre-Forward,30,1,Greece,Super League 1,Panathinaikos Athens,Turkey,Süper Lig,MKE Ankaragücü,free transfer
Centre-Forward,22,1,Netherlands,Eredivisie,Feyenoord Rotterdam,Portugal,Liga Portugal,Boavista FC,loan transfer
Attacking Midfield,24,1,Ukraine,Premier Liga,PFK Lviv,Turkey,1.Lig,Caykur Rizespor,free transfer
Centre-Forward,27,1,Spain,LaLiga2,Málaga CF,Greece,Super League 1,PAOK Thessaloniki,free transfer
Left Winger,31,1,Qatar,Stars League,Al-Duhail SC,Qatar,Stars League,Al-Arabi SC,loan transfer
Centre-Back,30,1,Spain,LaLiga2,SD Eibar,Spain,LaLiga2,Málaga CF,free transfer
Central Midfield,28,1,France,Ligue 2,FC Sochaux-Montbéliard,France,Ligue 2,Dijon FCO,free transfer
Right-Back,23,1,Italy,Serie A,Hellas Verona,Switzerland,Super League,BSC Young Boys,loan transfer
Left Winger,28,1,Saudi Arabia,Professional League,Al-Batin FC,United Arab Emirates,UAE Pro League,Al-Dhafra FC,free transfer
Centre-Forward,18,1,England,Premier League 2,West Ham United U21,England,Premier League 2,Leeds United U21,free transfer
Defensive Midfield,23,1,France,Ligue 1,Clermont Foot 63,Portugal,Liga Portugal,FC Arouca,free transfer
Left Winger,27,1,Greece,Super League 1,AEK Athens,Cyprus,Protathlima Cyta,Pafos FC,free transfer
Left Winger,24,1,Belgium,Jupiler Pro League,RSC Anderlecht,Spain,LaLiga2,CD Tenerife,loan transfer
Defensive Midfield,33,1,Egypt,Premier League,Zamalek SC,Saudi Arabia,Professional League,Al-Ittihad Club (Jeddah),free transfer
Defensive Midfield,35,1,Turkey,Süper Lig,Fenerbahce SK,Saudi Arabia,Professional League,Al-Nassr Riad,free transfer
Defensive Midfield,28,1,Turkey,Süper Lig,Hatayspor,Turkey,Süper Lig,Ümraniyespor,?
Centre-Back,29,1,Spain,LaLiga,Getafe CF,Spain,LaLiga2,Granada CF,free transfer
Centre-Forward,33,1,Saudi Arabia,Without League,Al-Faisaly FC,Saudi Arabia,Professional League,Al-Raed,free transfer
Attacking Midfield,23,1,Germany,Regionalliga Bayern,FC Bayern Munich II,Germany,2. Bundesliga,SSV Jahn Regensburg,loan transfer
Defensive Midfield,29,1,Mexico,Liga MX Apertura,CF Pachuca,Brazil,Série A,Coritiba Foot Ball Club,loan transfer
Right Winger,32,1,Ecuador,Serie A Segunda Etapa,CD Universidad Católica,Saudi Arabia,Without League,Al-Ahli Saudi FC,?
Right-Back,30,1,England,League One,Derby County,United States,MLS,Charlotte FC,free transfer
Right-Back,26,1,Germany,Bundesliga,Hertha BSC,Germany,2. Bundesliga,Arminia Bielefeld,free transfer
Centre-Forward,20,1,Germany,Bundesliga,Eintracht Frankfurt,Turkey,1.Lig,Göztepe,loan transfer
Centre-Back,30,1,Brazil,Série A,Fluminense Football Club,Turkey,1.Lig,Eyüpspor,free transfer
Right Winger,30,1,Egypt,Premier League,Zamalek SC,Morocco,Botola Pro Inwi,Wydad Casablanca,free transfer
Centre-Forward,25,1,Brazil,Série B,Tombense Futebol Clube (MG),Japan,J2 League,Ventforet Kofu,loan transfer
Centre-Back,26,1,Spain,LaLiga,UD Almería,Spain,LaLiga2,Deportivo Alavés,loan transfer
Centre-Forward,20,1,France,Ligue 1,Stade Reims,Portugal,Liga Portugal,FC Paços de Ferreira,loan transfer
Central Midfield,31,1,Italy,Serie B,Benevento Calcio,Italy,Serie B,Pisa Sporting Club,?
Centre-Forward,30,1,Germany,Bundesliga,1.FC Union Berlin,England,Championship,Millwall FC,?
Centre-Forward,26,1,England,Championship,Watford FC,England,Championship,Wigan Athletic,loan transfer
Goalkeeper,27,1,England,Premier League,Arsenal FC,Turkey,Süper Lig,Alanyaspor,loan transfer
Centre-Forward,30,1,France,Ligue 1,RC Strasbourg Alsace,Cyprus,Protathlima Cyta,Anorthosis Famagusta,free transfer
Centre-Back,21,1,Wales,Championship,Cardiff City,England,League One,Sheffield Wednesday,loan transfer
Centre-Forward,21,1,France,Ligue 1,FC Lorient,Belgium,Jupiler Pro League,KAS Eupen,loan transfer
Centre-Forward,19,1,Italy,Serie B,Genoa CFC,Belgium,Jupiler Pro League,Oud-Heverlee Leuven,loan transfer
Centre-Forward,32,1,Turkey,Süper Lig,Konyaspor,Saudi Arabia,Professional League,Al-Khaleej,loan transfer
Attacking Midfield,33,1,Netherlands,Eredivisie,Feyenoord Rotterdam,Netherlands,Eredivisie,FC Utrecht,free transfer
Defensive Midfield,32,1,Greece,Super League 1,AEK Athens,Russia,Premier Liga,Torpedo Moscow,free transfer
Right-Back,29,1,England,Premier League,Fulham FC,England,Championship,Hull City,free transfer
Right Winger,21,1,Monaco,Ligue 1,AS Monaco,France,Ligue 2,FC Metz,loan transfer
Right-Back,26,1,Netherlands,Eredivisie,AZ Alkmaar,Bulgaria,efbet Liga,Ludogorets Razgrad,?
Left Winger,24,1,France,Ligue 1,Stade Reims,Switzerland,Super League,Servette FC,?
Centre-Forward,32,1,Greece,Super League 1,AEK Athens,Cyprus,Protathlima Cyta,Omonia Nicosia,free transfer
Central Midfield,26,1,Italy,Serie A,US Cremonese,Italy,Serie B,SPAL,loan transfer
Right Winger,25,1,Portugal,Liga Portugal,FC Famalicão,Spain,LaLiga2,SD Ponferradina,loan transfer
Defensive Midfield,20,1,Germany,Bundesliga,TSG 1899 Hoffenheim,Netherlands,Keuken Kampioen Divisie,PEC Zwolle,loan transfer
Defensive Midfield,32,1,Saudi Arabia,Professional League,Al-Shabab Club (Riyadh),Spain,LaLiga2,Málaga CF,free transfer
Left-Back,25,1,Colombia,Liga DIMAYOR II,Junior FC,Spain,LaLiga2,Real Zaragoza,loan transfer
Attacking Midfield,32,1,France,Ligue 1,Clermont Foot 63,France,Ligue 2,Valenciennes FC,free transfer
Defensive Midfield,26,1,Italy,Serie A,SSC Napoli,Italy,Serie C - C,Delfino Pescara 1936,?
Centre-Back,26,1,Italy,Serie A,Spezia Calcio,Italy,Serie B,Cagliari Calcio,?
Central Midfield,29,1,Romania,SuperLiga,FCSB,Romania,SuperLiga,FC Voluntari,free transfer
Centre-Back,27,1,Netherlands,Eredivisie,PSV Eindhoven,Israel,Ligat ha'Al,Maccabi Tel Aviv,?
Left-Back,19,0.95,Turkey,1.Lig,Altay SK,Turkey,Süper Lig,Galatasaray A.S.,1
Goalkeeper,29,1,Italy,Serie B,Genoa CFC,Italy,Serie B,Benevento Calcio,1
Right-Back,27,1,Austria,Bundesliga,Red Bull Salzburg,Switzerland,Super League,FC St. Gallen 1879,1
Left Winger,23,1,Romania,SuperLiga,CFR Cluj,Romania,SuperLiga,FC Rapid 1923,0.1
Defensive Midfield,30,1,Turkey,Süper Lig,Istanbul Basaksehir FK,Turkey,Süper Lig,MKE Ankaragücü,free transfer
Defensive Midfield,25,1,Turkey,Süper Lig,Gaziantep FK,Netherlands,Eredivisie,Fortuna Sittard,free transfer
Central Midfield,30,1,Colombia,Liga DIMAYOR II,Atlético Nacional,Argentina,Liga Profesional,CA Colon,free transfer
Centre-Back,28,1,Turkey,Süper Lig,Galatasaray A.S.,Turkey,1.Lig,Eyüpspor,loan transfer
Central Midfield,29,1,Colombia,Liga DIMAYOR II,CD América de Cali,Paraguay,Primera División Clausura,Club Cerro Porteño,?
Attacking Midfield,25,1,Brazil,Série B,Grêmio Foot-Ball Porto Alegrense,Brazil,Série B,Guarani Futebol Clube (SP),loan transfer
Defensive Midfield,26,1,Brazil,Série A,Santos FC,Brazil,Série A,Atlético Clube Goianiense,loan transfer
Centre-Forward,25,1,Italy,Serie A,Atalanta BC,Italy,Serie B,Palermo FC,loan transfer
Goalkeeper,26,0.3,Denmark,Superligaen,Aalborg BK,Denmark,Superligaen,FC Nordsjaelland,1
Goalkeeper,23,0.5,Egypt,Premier League,Zamalek SC,Egypt,Premier League,Pharco FC,1
Left Winger,23,1,Paraguay,Primera División Clausura,Club Guaraní,Mexico,Liga MX Apertura,Mazatlán FC,2
Centre-Forward,26,1,England,League One,Barnsley FC,England,Championship,Luton Town,2
Left-Back,20,1,Sweden,Allsvenskan,IF Elfsborg,France,Ligue 1,FC Toulouse,1
Left-Back,27,0.6,Italy,Serie B,Genoa CFC,Italy,Serie A,US Salernitana 1919,1
Centre-Forward,23,0.7,Slovakia,Fortuna Liga,DAC Dunajska Streda,Denmark,Superligaen,Bröndby IF,1
Central Midfield,22,1,England,Premier League 2,Brighton & Hove Albion U21,England,Championship,West Bromwich Albion,1
Centre-Forward,21,0.8,Portugal,Without League,Vitória Guimarães SC B,Belgium,Jupiler Pro League,KVC Westerlo,1
Centre-Forward,23,1,Portugal,Liga Portugal,Vitória Guimarães SC,Portugal,Liga Portugal,Rio Ave FC,1
Left Winger,18,0.75,Germany,Bundesliga,Hertha BSC,Switzerland,Super League,FC Basel 1893,1
Goalkeeper,24,0.9,Netherlands,Eredivisie,FC Utrecht,United States,MLS,FC Dallas,1
Centre-Forward,23,0.5,Switzerland,Challenge League,FC Schaffhausen,Switzerland,Super League,FC Luzern,1
Centre-Back,22,0.8,Netherlands,Eredivisie,RKC Waalwijk,Netherlands,Eredivisie,Vitesse Arnhem,1
Central Midfield,24,0.5,Spain,Primera Federación - Gr. II,FC Barcelona Atlètic,Spain,LaLiga2,SD Eibar,1
Second Striker,17,0.5,Spain,Primera Federación - Gr. I,Algeciras CF,Spain,Primera Federación - Gr. I,Real Madrid Castilla,1
Centre-Back,21,0.75,Italy,Serie A,Atalanta BC,Netherlands,Eredivisie,Fortuna Sittard,1
Right-Back,23,1,Belgium,Jupiler Pro League,Cercle Brugge ,England,Championship,Burnley FC,1
Defensive Midfield,17,-,Germany,U19-BL S/SW,Eintracht Frankfurt U19,Germany,Regionalliga Südwest,TSG 1899 Hoffenheim II,1
Centre-Back,26,0.9,Hungary,NB I.,MOL Fehérvár FC,Italy,Serie B,Pisa Sporting Club,1
Right Winger,22,0.4,Slovenia,Prva Liga,NK Maribor,Norway,Eliteserien,FK Bodø/Glimt,1
Centre-Back,19,1,France,Ligue 2,FC Metz,Portugal,Liga Sabseg,SL Benfica B,1
Centre-Back,18,-,Serbia,Omladinska liga,FK Cukaricki U19,Italy,Primavera 1,Sassuolo Primavera,1
Central Midfield,27,1,United States,MLS,Charlotte FC,Spain,LaLiga2,Granada CF,1
Centre-Back,27,1,Czech Republic,Fortuna Liga,SK Sigma Olomouc,Czech Republic,Fortuna Liga,FC Viktoria Plzen,1
Right Winger,19,0.4,Italy,Primavera 1,Cagliari Primavera,Italy,Serie B,Pisa Sporting Club,1
Centre-Back,17,-,Germany,U19-BL S/SW,VfB Stuttgart U19,Italy,Primavera 1,Milan Primavera,1
Centre-Back,21,0.7,Brazil,Série A,Sport Club Internacional,Bulgaria,efbet Liga,Ludogorets Razgrad,1
Centre-Forward,27,0.65,Azerbaijan,Premyer Liqa,Qarabağ FK,France,Ligue 2,AS Saint-Étienne,1
Defensive Midfield,23,0.6,Portugal,Liga Sabseg,Moreirense FC,Portugal,Liga Portugal,Boavista FC,1
Right-Back,17,0.2,France,Ligue 2,AC Le Havre,France,Ligue 1,Olympique Lyon,1
Left-Back,30,0.4,Denmark,Superligaen,Viborg FF,Denmark,Superligaen,FC Copenhagen,1
Defensive Midfield,19,0.7,France,Ligue 2,AC Le Havre,England,Championship,Sunderland AFC,1
Right Winger,25,0.9,Belgium,Jupiler Pro League,KV Mechelen,Ukraine,Premier Liga,Shakhtar Donetsk,1
Right Winger,22,0.8,Slovenia,Prva Liga,FC Koper,Ukraine,Premier Liga,Dynamo Kyiv,1
Centre-Forward,30,1,"Korea, South",K League 1,Incheon United,Japan,J1 League,Vissel Kobe,0.96
Centre-Back,31,1,Greece,Super League 1,Panathinaikos Athens,Saudi Arabia,Professional League,Al-Fateh,0.85
Left Winger,25,1,Czech Republic,Fortuna Liga,FK Mlada Boleslav,Czech Republic,Fortuna Liga,SK Slavia Prague,0.8
Defensive Midfield,23,1,Croatia,Without League,GNK Dinamo Zagreb II,Ukraine,Premier Liga,Shakhtar Donetsk,0.8
Defensive Midfield,24,1,Netherlands,Eredivisie,Go Ahead Eagles,Netherlands,Eredivisie,FC Utrecht,0.75
Centre-Back,21,1,Germany,Bundesliga,1. FC Köln,Denmark,Superligaen,Aarhus GF,0.67
Goalkeeper,22,1,Italy,Serie C - A,Juventus Next Gen,Portugal,Liga Portugal,Sporting CP,0.65
Left Winger,19,1,Sweden,Allsvenskan,Hammarby IF,Netherlands,Eredivisie,AZ Alkmaar,0.6
Centre-Forward,29,1,Ecuador,Serie A Segunda Etapa,Barcelona SC Guayaquil,Brazil,Série A,América Futebol Clube (MG),0.58
Right Winger,25,1,United States,MLS,Orlando City SC,Netherlands,Eredivisie,SC Cambuur-Leeuwarden,0.5
Attacking Midfield,29,1,Ukraine,Premier Liga,Kolos Kovalivka,Ukraine,Premier Liga,Shakhtar Donetsk,0.5
Left Winger,21,1,Spain,LaLiga2,Málaga CF,Portugal,Liga Portugal,Gil Vicente FC,0.5
Attacking Midfield,21,1,Denmark,Superligaen,FC Nordsjaelland,Belgium,Jupiler Pro League,Cercle Brugge ,0.5
Centre-Back,24,1,Poland,Ekstraklasa,Wisla Plock,Germany,2. Bundesliga,SpVgg Greuther Fürth,0.5
Centre-Back,25,1,France,Ligue 1,FC Lorient,France,Ligue 2,AS Saint-Étienne,0.5
Left-Back,25,1,Spain,LaLiga2,CD Leganés,Ukraine,Premier Liga,Vorskla Poltava,0.5
Centre-Back,29,1,United States,MLS,San Jose Earthquakes,Turkey,Süper Lig,Konyaspor,0.495
Left Winger,24,1,Greece,Super League 1,PAOK Thessaloniki,Netherlands,Eredivisie,Excelsior Rotterdam,0.45
Right-Back,24,1,Sweden,Allsvenskan,IFK Göteborg,Italy,Serie B,Brescia Calcio,0.4
Goalkeeper,24,1,Brazil,Série A,São Paulo Futebol Clube,Brazil,Série A,Botafogo de Futebol e Regatas,0.35
Defensive Midfield,18,1,United States,MLS,D.C. United,Belgium,Challenger Pro League,SK Beveren,0.35
Centre-Forward,17,1,Germany,U19-Bundesliga West,Bayer 04 Leverkusen U19,Spain,Primera Federación - Gr. I,Real Madrid Castilla,0.3
Left Winger,27,1,Turkey,1.Lig,Altay SK,United States,MLS,D.C. United,0.273
Right Winger,30,1,Romania,SuperLiga,Universitatea Craiova,Iran,Persian Gulf Pro League,Tractor FC,0.2
Centre-Back,24,1,Greece,Super League 1,PAOK Thessaloniki,Portugal,Liga Portugal,FC Famalicão,0.2
Right Winger,21,1,Ukraine,Premier Liga,Dynamo Kyiv,Poland,Ekstraklasa,Lech Poznan,0.1
Defensive Midfield,26,1,Brazil,Série A,Fortaleza Esporte Clube,Qatar,Stars League,Qatar SC,0.05
Defensive Midfield,21,1,Germany,Regionalliga Bayern,FC Bayern Munich II,Netherlands,Eredivisie,FC Utrecht,free transfer
Left-Back,24,1,Germany,2. Bundesliga,SSV Jahn Regensburg,Germany,2. Bundesliga,1.FC Nuremberg,free transfer
Right Winger,25,1,Denmark,1.Division,Vejle Boldklub,Denmark,Superligaen,Aalborg BK,free transfer
Centre-Back,30,1,Belgium,Jupiler Pro League,KAS Eupen,Malaysia,Super League,Johor Darul Ta'zim,free transfer
Centre-Back,29,1,Germany,2. Bundesliga,Hannover 96,Germany,2. Bundesliga,Karlsruher SC,free transfer
Centre-Forward,30,1,Spain,LaLiga2,Deportivo Alavés,Sweden,Allsvenskan,AIK Solna,free transfer
Centre-Back,35,1,France,Ligue 2,FC Girondins Bordeaux,Australia,A-League Men,Western Sydney Wanderers,free transfer
Right Winger,30,1,England,Championship,Stoke City,England,Championship,Reading FC,free transfer
Defensive Midfield,24,1,Germany,2. Bundesliga,Arminia Bielefeld,Germany,2. Bundesliga,Hannover 96,free transfer
Goalkeeper,34,1,Germany,Bundesliga,Borussia Dortmund,Switzerland,Super League,FC Basel 1893,free transfer
Centre-Back,34,1,France,Ligue 1,Angers SCO,France,Ligue 2,SM Caen,free transfer
Right-Back,25,1,Greece,Super League 1,PAS Giannina,Germany,2. Bundesliga,FC St. Pauli,free transfer
Right Winger,31,1,Mexico,Liga MX Apertura,UNAM Pumas,Brazil,Série B,Centro Sportivo Alagoano (AL),free transfer
Central Midfield,30,1,Turkey,Süper Lig,Kasimpasa,Turkey,Süper Lig,Hatayspor,free transfer
Centre-Forward,26,1,Mexico,Liga MX Apertura,Santos Laguna,Chile,Primera División,Coquimbo Unido,loan transfer
Central Midfield,25,1,Austria,Bundesliga,SK Austria Klagenfurt,Austria,Bundesliga,Rapid Vienna,free transfer
Attacking Midfield,30,1,England,Championship,Sheffield United,England,Championship,Luton Town,free transfer
Right Winger,26,1,Portugal,Liga Portugal,Gil Vicente FC,France,Ligue 2,Amiens SC,free transfer
Centre-Back,30,1,England,Championship,Luton Town,England,Championship,Bristol City,free transfer
Goalkeeper,29,1,Belgium,Jupiler Pro League,Royal Antwerp FC,Iran,Persian Gulf Pro League,Persepolis FC,free transfer
Right Winger,25,1,Spain,Primera Federación - Gr. II,Real Sociedad B,Spain,LaLiga2,Deportivo Alavés,free transfer
Goalkeeper,29,1,Mexico,Liga MX Apertura,Club Tijuana,Mexico,Liga MX Apertura,UNAM Pumas,?
Right Winger,25,1,Germany,2. Bundesliga,SV Darmstadt 98,Germany,Bundesliga,1.FC Union Berlin,free transfer
Centre-Forward,21,1,Mexico,Liga MX Apertura,Deportivo Guadalajara,Mexico,Liga MX Apertura,UNAM Pumas,free transfer
